,phi0,p,q,P[N],delta_H,delta_V,small_delta_v,safety_ratio
188,57.6,0.9602936856769431,1.7665965689397327,0.8780541251098062,0.6716126915138632,1.5571752115033066,2.642331043656559,1.5806208972786109
189,57.8,0.9607791541575942,1.772957953378067,0.8843891273227689,0.6762612495236928,1.5616559824551728,2.6613949857647414,1.5732128524720885
190,58.0,0.9612616959383189,1.779354563729901,0.890782169726435,0.6809269308409878,1.5661286195914892,2.6806335884015744,1.565842009588854
191,58.2,0.9617413095492113,1.7857869110946964,0.8972341462780604,0.6856097864550326,1.5705931296055697,2.7000495417554435,1.5585078553756642
192,58.4,0.9622179935292853,1.7922555155731683,0.903745969547849,0.690309868769688,1.5750495198997019,2.719645592026736,1.551209881512545
193,58.6,0.9626917464264788,1.798760906503539,0.9103185712263427,0.6950272316400332,1.5794977986007896,2.739424542954734,1.543947584481722
194,58.8,0.9631625667976582,1.8053036227039967,0.9169529026476353,0.6997619304088456,1.5839379745753235,2.7593892573921215,1.536720465438931
195,59.0,0.963630453208623,1.8118842127240455,0.9236499353315107,0.7045140219454353,1.5883700574458988,2.779542658936444,1.5295280300849288
196,59.2,0.9640954042341101,1.8185032351027375,0.9304106615428914,0.7092835646845028,1.592794057607225,2.799887733613657,1.5223697885391274
197,59.4,0.9645574184577981,1.8251612586362451,0.9372360948715178,0.7140706186672634,1.5972099862435452,2.8204275316225575,1.5152452552134423
198,59.6,0.9650164944723114,1.8318588626530101,0.9441272708305152,0.7188752455827399,1.6016178553456477,2.8411651691360555,1.5081539486880324
199,59.8,0.9654726308792251,1.8385966372990257,0.9510852474769355,0.7236975088115225,1.6060176777293982,2.8621038301685684,1.5010953915870118
200,60.0,0.9659258262890683,1.8453751838314367,0.9581111060529066,0.7285374734698518,1.6104094670539808,2.883246768505436,1.4940691104558577
201,60.2,0.9663760793213294,1.8521951149224611,0.9652059516499627,0.7333952064557017,1.614793237841197,2.9045973097020927,1.487074635639084
202,60.4,0.9668233886044594,1.8590570549731937,0.9723709138966496,0.7382707764960967,1.6191690054952077,2.926158853153279,1.4801115011587953
